id,compant_id,address,created_at,updated_at
1,1,"Tầng 8, tòa nhà 18/4, số 8 Phạm Hùng, P Mai Dịch",4/3/2023,4/4/2023
2,2,"Tầng 20, Center Building Hapulico Complex, Số 1 Nguyễn Huy Tưởng, Thanh Xuân, Hà Nội",4/3/2023,4/4/2023
3,3,"Tầng 1, Toà nhà số 56 Thủ Khoa Huân, Phường Bến Thành, Quận 1, Tp. HCM",4/3/2023,4/4/2023
4,3,"Phòng 502, Toà Nhà Khâm Thiên, 193 - 195 Khâm Thiên, P.Thổ Quan, Quận Đống Đa, Hà Nội",4/3/2023,4/4/2023
5,4,"Tầng 30, tòa nhà Handico, Phạm Hùng, Nam Từ Liêm",4/3/2023,4/4/2023
6,5,"30 Bờ Bao Tân Thắng, P. Sơn Kỳ, Q. Tân Phú, TP. HCM",4/3/2023,4/4/2023
7,6,"BCONS Tower, 4A/167A Duong D1, P.25, Binh Thanh, Ho Chi Minh",4/3/2023,4/4/2023
8,7,Khương Đình - Thanh Xuân - Hà Nội,4/3/2023,4/4/2023
9,8,"Hà Nội: Tòa nhà Hoàng Sâm, số 260-262 Bà Triệu, P. Lê Đại Hành, Q. Hai Bà Trưng.",4/3/2023,4/4/2023
10,8,"Nghệ An: Tầng 3, tòa nhà An Phát Complex, đại lộ 72, xã Nghi Phú, TP. Vinh",4/3/2023,4/4/2023
11,8,"Đà Nẵng: Tầng 4, Tòa nhà Sunrise, số 25 Đường 2/9, phường Hòa Cường Nam, Quận Hải Châu",4/3/2023,4/4/2023
12,8,"Tp.HCM: Tòa nhà Harbour View, số 35 Nguyễn Huệ, P. Bến Nghé, quận 1.",4/3/2023,4/4/2023
13,8,"Tp.HCM: Tòa nhà IBC, số 1A Công Trường Mê Linh, P. Bến Nghé, quận 1.",4/3/2023,4/4/2023
14,9,"Tầng 9, tòa nhà Mipec, 229 Tây Sơn, Đống Đa, Hà Nội",4/3/2023,4/4/2023
15,9,"Tòa nhà Rivera Park, 7/28, Thành Thái, Phường 14, Quận 10",4/3/2023,4/4/2023
16,10,"2 Tôn Đức Thắng, Bến Nghé, Quận 1",4/3/2023,4/4/2023
